연도,지사,응시인원(1분기),합격인원(1분기),합격률(1분기),응시인원(2분기),합격인원(2분기),합격률(2분기),응시인원(3분기),합격인원(3분기),합격률(3분기),응시인원(4분기),합격인원(4분기),합격률(4분기)
2001,서울,404,131,0.324,782,326,0.417,741,238,0.321,1034,333,0.322
2001,광주,31,13,0.419,175,96,0.549,200,88,0.44,192,83,0.432
2002,서울,610,146,0.239,1006,224,0.223,885,196,0.221,1266,387,0.306
2002,광주,80,21,0.263,275,92,0.335,433,143,0.33,585,316,0.54
2003,서울,661,164,0.248,1460,450,0.308,1159,345,0.298,1482,425,0.287
2003,광주,347,183,0.527,422,237,0.562,1047,533,0.509,861,443,0.515
2004,서울,832,276,0.332,1330,380,0.286,2010,601,0.299,1299,405,0.312
2004,부산,0,0,0,531,218,0.411,1381,518,0.375,1232,395,0.321
2004,대구,0,0,0,0,0,0,94,35,0.372,407,204,0.501
2004,광주,683,338,0.495,810,378,0.467,1005,453,0.451,695,338,0.486
2004,전북,0,0,0,367,152,0.414,440,190,0.432,350,161,0.46
2004,경북,0,0,0,0,0,0,140,62,0.443,453,203,0.448
2005,서울,940,269,0.286,1432,427,0.298,1411,448,0.318,1506,424,0.282
2005,부산,1094,374,0.342,1484,500,0.337,1414,454,0.321,1037,329,0.317
2005,대구,420,226,0.538,543,296,0.545,422,220,0.521,465,225,0.484
2005,광주,518,244,0.471,754,344,0.456,698,322,0.461,654,282,0.431
2005,전북,212,88,0.415,594,228,0.384,563,246,0.437,631,251,0.398
2005,경북,476,246,0.517,370,168,0.454,534,243,0.455,347,150,0.432
2006,서울,1104,353,0.32,1077,244,0.227,1178,271,0.23,910,174,0.191
2006,부산,758,251,0.331,700,240,0.343,819,300,0.366,672,223,0.332
2006,대구,330,155,0.47,593,321,0.541,388,221,0.57,563,259,0.46
2006,광주,476,210,0.441,347,122,0.352,455,184,0.404,536,205,0.382
2006,전북,208,85,0.409,572,230,0.402,631,292,0.463,692,322,0.465
2006,경북,234,98,0.419,243,92,0.379,445,197,0.443,484,230,0.475
2007,서울,507,126,0.249,1043,268,0.257,1150,267,0.232,1060,247,0.233
2007,부산,450,177,0.393,638,208,0.326,831,299,0.36,572,207,0.362
2007,대구,180,89,0.494,677,336,0.496,545,283,0.519,515,269,0.522
2007,광주,393,158,0.402,423,164,0.388,581,247,0.425,501,227,0.453
2007,전북,405,229,0.565,645,340,0.527,895,498,0.556,705,416,0.59
2007,경북,210,94,0.448,358,166,0.464,300,110,0.367,416,175,0.421
2008,서울,113,10,0.088,227,36,0.159,164,14,0.085,171,25,0.146
2008,부산,418,162,0.388,712,264,0.371,716,299,0.418,806,310,0.385
2008,대구,448,224,0.5,622,296,0.476,483,225,0.466,430,206,0.479
2008,광주,303,159,0.525,424,186,0.439,447,181,0.405,384,136,0.354
2008,경기,1044,363,0.348,1073,332,0.309,1425,379,0.266,1245,311,0.25
2008,전북,634,367,0.579,643,363,0.565,451,207,0.459,888,503,0.566
2008,경북,215,94,0.437,321,160,0.498,487,204,0.419,444,202,0.455
2009,서울,116,22,0.19,176,24,0.136,364,77,0.212,357,71,0.199
2009,부산,761,299,0.393,1088,380,0.349,1502,494,0.329,1414,491,0.347
2009,대구,452,207,0.458,505,205,0.406,995,469,0.471,709,372,0.525
2009,광주,157,81,0.516,393,203,0.517,462,216,0.468,550,280,0.509
2009,경기,864,253,0.293,1062,330,0.311,2296,672,0.293,2264,632,0.279
2009,전북,452,218,0.482,885,448,0.506,888,413,0.465,970,395,0.407
2009,경북,221,114,0.516,358,150,0.419,388,155,0.399,396,175,0.442
2009,전남서부,0,0,0,0,0,0,52,25,0.481,260,128,0.492
2010,서울,117,32,0.274,346,66,0.191,353,131,0.371,297,86,0.29
2010,부산,916,279,0.305,1455,428,0.294,1804,695,0.385,1415,478,0.338
2010,대구,562,264,0.47,858,453,0.528,1114,584,0.524,1136,571,0.503
2010,광주,372,190,0.511,599,262,0.437,548,252,0.46,641,296,0.462
2010,경기,1260,377,0.299,2435,735,0.302,2544,769,0.302,2081,596,0.286
2010,전북,832,306,0.368,908,406,0.447,1026,335,0.327,905,275,0.304
2010,경북,233,72,0.309,235,68,0.289,472,137,0.29,537,193,0.359
2010,전남서부,193,82,0.425,241,95,0.394,214,99,0.463,246,104,0.423
2011,서울,178,49,0.275,356,109,0.306,300,103,0.343,296,87,0.294
2011,부산,1295,485,0.375,1383,469,0.339,1386,479,0.346,1177,378,0.321
2011,대구,866,455,0.525,905,436,0.482,1107,503,0.454,1221,548,0.449
2011,광주,562,237,0.422,547,228,0.417,717,260,0.363,725,333,0.459
2011,울산,0,0,0,0,0,0,0,0,0,106,64,0.604
2011,경기,2126,634,0.298,2537,685,0.27,1869,570,0.305,2087,626,0.3
2011,전북,872,308,0.353,954,295,0.309,914,351,0.384,1065,350,0.329
2011,경북,353,97,0.275,396,147,0.371,699,223,0.319,578,189,0.327
2011,전남서부,201,74,0.368,216,93,0.431,256,119,0.465,253,102,0.403
2012,서울,119,29,0.244,354,127,0.359,355,137,0.386,712,222,0.312
2012,부산,585,207,0.354,836,263,0.315,972,336,0.346,792,248,0.313
2012,울산,122,84,0.689,145,78,0.538,173,100,0.578,157,94,0.599
2012,대구,616,277,0.45,1278,617,0.483,829,382,0.461,673,348,0.517
2012,경북,236,79,0.335,233,64,0.275,430,120,0.279,383,143,0.373
2012,경북동부,0,0,0,230,145,0.63,442,250,0.566,273,157,0.575
2012,광주,283,126,0.445,498,223,0.448,471,199,0.423,428,220,0.514
2012,전북,290,105,0.362,852,320,0.376,525,210,0.4,788,265,0.336
2012,전남,306,155,0.507,475,223,0.469,516,243,0.471,499,244,0.489
2012,전남서부,79,40,0.506,164,77,0.47,190,98,0.516,97,54,0.557
2012,대전,172,87,0.506,374,148,0.396,264,99,0.375,258,98,0.38
2012,충북,171,55,0.322,361,110,0.305,378,174,0.46,216,94,0.435
2012,충남,117,41,0.35,373,142,0.381,252,107,0.425,264,104,0.394
2012,인천,68,18,0.265,256,81,0.316,613,350,0.571,299,166,0.555
2012,경기,1328,404,0.304,2462,720,0.292,2435,1023,0.42,1580,652,0.413
2012,경기동부,0,0,0,0,0,0,16,10,0.625,0,0,0
2012,강원,382,78,0.204,461,130,0.282,537,178,0.331,498,148,0.297
2012,강원동부,292,101,0.346,237,58,0.245,297,109,0.367,273,37,0.136
2012,제주,27,9,0.333,115,37,0.322,245,119,0.486,131,48,0.366
2013,서울,457,133,0.291,772,301,0.39,714,283,0.396,620,248,0.4
2013,경기북부,54,21,0.389,42,16,0.381,0,0,0,123,38,0.309
2013,부산,777,291,0.375,1065,404,0.379,1069,377,0.353,998,362,0.363
2013,울산,111,68,0.613,150,92,0.613,144,90,0.625,130,70,0.538
2013,경남,0,0,0,36,14,0.389,0,0,0,37,19,0.514
2013,대구,547,287,0.525,699,336,0.481,855,458,0.536,825,423,0.513
2013,경북,274,87,0.318,328,100,0.305,211,68,0.322,474,175,0.369
2013,경북동부,181,114,0.63,368,234,0.636,248,164,0.661,423,278,0.657
2013,광주,326,175,0.537,364,172,0.473,389,200,0.514,477,241,0.505
2013,전북,667,267,0.4,756,320,0.423,702,310,0.442,797,340,0.427
2013,전남,410,243,0.593,372,185,0.497,408,220,0.539,380,213,0.561
2013,전남서부,85,47,0.553,116,45,0.388,129,62,0.481,181,83,0.459
2013,대전,83,21,0.253,321,109,0.34,247,105,0.425,298,95,0.319
2013,충북,179,84,0.469,232,99,0.427,197,104,0.528,293,119,0.406
2013,충남,357,132,0.37,244,88,0.361,361,159,0.44,477,181,0.379
2013,인천,385,138,0.358,479,198,0.413,488,202,0.414,585,275,0.47
2013,경기,1484,603,0.406,1692,663,0.392,1519,582,0.383,1245,527,0.423
2013,경기동부,0,0,0,0,0,0,15,10,0.667,0,0,0
2013,강원,175,41,0.234,498,86,0.173,202,57,0.282,489,110,0.225
2013,강원동부,306,46,0.15,242,84,0.347,340,51,0.15,423,98,0.232
2013,제주,69,14,0.203,77,25,0.325,215,108,0.502,141,39,0.277
2014,서울,543,267,0.492,767,304,0.396,1160,432,0.372,1087,355,0.327
2014,서울서부,0,0,0,51,9,0.176,0,0,0,0,0,0
2014,경기북부,0,0,0,137,48,0.35,0,0,0,21,10,0.476
2014,부산,835,326,0.39,838,336,0.401,1161,423,0.364,1042,379,0.364
2014,울산,127,79,0.622,89,56,0.629,135,75,0.556,153,79,0.516
2014,대구,902,472,0.523,670,373,0.557,560,311,0.555,979,485,0.495
2014,경북,243,107,0.44,231,113,0.489,344,142,0.413,434,153,0.353
2014,경북동부,196,122,0.622,268,150,0.56,331,164,0.495,291,165,0.567
2014,광주,360,176,0.489,403,172,0.427,386,201,0.521,394,179,0.454
2014,전북,676,263,0.389,440,210,0.477,861,349,0.405,575,210,0.365
2014,전남,360,251,0.697,339,167,0.493,452,242,0.535,402,215,0.535
2014,전남서부,159,69,0.434,95,36,0.379,178,64,0.36,121,57,0.471
2014,대전,117,45,0.385,246,77,0.313,234,97,0.415,167,54,0.323
2014,충북,198,88,0.444,385,171,0.444,495,219,0.442,373,187,0.501
2014,충남,295,96,0.325,441,173,0.392,415,147,0.354,380,157,0.413
2014,인천,501,209,0.417,254,110,0.433,517,268,0.518,676,298,0.441
2014,경기,1188,455,0.383,1176,429,0.365,1633,594,0.364,1505,609,0.405
2014,강원,189,59,0.312,358,89,0.249,564,160,0.284,548,149,0.272
2014,강원동부,371,100,0.27,213,56,0.263,406,107,0.264,471,117,0.248
2014,제주,35,14,0.4,127,30,0.236,177,91,0.514,169,71,0.42
2015,서울,771,277,0.359,1436,491,0.342,1209,412,0.341,1232,417,0.338
2015,부산,643,218,0.339,1218,465,0.382,1215,460,0.379,996,374,0.376
2015,울산,111,52,0.468,177,100,0.565,228,107,0.469,201,96,0.478
2015,대구,640,336,0.525,1112,519,0.467,717,411,0.573,653,349,0.534
2015,경북,212,85,0.401,297,121,0.407,294,108,0.367,273,112,0.41
2015,경북동부,214,105,0.491,286,149,0.521,324,182,0.562,421,191,0.454
2015,광주,287,143,0.498,378,193,0.511,418,200,0.478,394,201,0.51
2015,전북,357,145,0.406,683,246,0.36,769,312,0.406,763,303,0.397
2015,전남,335,181,0.54,428,241,0.563,412,219,0.532,465,278,0.598
2015,전남서부,111,62,0.559,216,93,0.431,174,55,0.316,138,63,0.457
2015,대전,105,32,0.305,295,105,0.356,409,133,0.325,338,127,0.376
2015,충북,178,71,0.399,565,231,0.409,471,172,0.365,194,72,0.371
2015,충남,275,103,0.375,598,190,0.318,606,234,0.386,596,240,0.403
2015,인천,320,131,0.409,493,207,0.42,662,297,0.449,447,187,0.418
2015,경기,818,321,0.392,1433,503,0.351,1301,408,0.314,1499,490,0.327
2015,강원,209,58,0.278,613,149,0.243,568,180,0.317,382,123,0.322
2015,강원동부,258,91,0.353,299,62,0.207,339,109,0.322,202,63,0.312
2015,제주,35,10,0.286,142,51,0.359,187,83,0.444,113,40,0.354
2016,서울,1216,413,0.34,1965,633,0.322,1737,534,0.307,1787,492,0.275
2016,부산,830,332,0.4,1388,498,0.359,1266,497,0.393,1263,437,0.346
2016,울산,241,130,0.539,271,127,0.469,369,177,0.48,318,173,0.544
2016,대구,464,269,0.58,1239,663,0.535,750,390,0.52,871,451,0.518
2016,경북,99,16,0.162,423,104,0.246,338,117,0.346,333,114,0.342
2016,경북동부,233,113,0.485,311,153,0.492,313,153,0.489,383,168,0.439
2016,광주,257,126,0.49,282,155,0.55,311,154,0.495,284,142,0.5
2016,전북,476,203,0.426,690,311,0.451,673,306,0.455,583,291,0.499
2016,전남,354,190,0.537,398,199,0.5,497,288,0.579,441,248,0.562
2016,전남서부,112,51,0.455,204,92,0.451,127,56,0.441,117,44,0.376
2016,대전,225,76,0.338,380,160,0.421,454,160,0.352,290,112,0.386
2016,충북,308,111,0.36,295,127,0.431,248,118,0.476,321,109,0.34
2016,충남,421,147,0.349,558,218,0.391,513,234,0.456,560,231,0.413
2016,인천,393,184,0.468,308,125,0.406,520,215,0.413,547,209,0.382
2016,경기,625,235,0.376,1428,441,0.309,1398,454,0.325,1142,321,0.281
2016,강원,122,63,0.516,375,126,0.336,378,133,0.352,351,118,0.336
2016,강원동부,323,72,0.223,331,82,0.248,360,75,0.208,295,70,0.237
2016,제주,109,40,0.367,195,78,0.4,238,101,0.424,239,89,0.372
2017,서울,1437,504,0.351,2493,736,0.295,2323,713,0.307,2099,610,0.291
2017,부산,1154,457,0.396,1482,556,0.375,1391,512,0.368,1389,532,0.383
2017,울산,407,193,0.474,430,223,0.519,456,211,0.463,414,187,0.452
2017,대구,488,256,0.525,1092,540,0.495,1044,507,0.486,854,362,0.424
2017,경북,214,80,0.374,349,138,0.395,481,165,0.343,347,122,0.352
2017,경북동부,300,127,0.423,434,189,0.435,490,258,0.527,424,199,0.469
2017,광주,210,99,0.471,352,184,0.523,290,147,0.507,349,156,0.447
2017,전북,447,210,0.47,689,264,0.383,757,298,0.394,663,268,0.404
2017,전남,386,219,0.567,434,224,0.516,618,335,0.542,500,232,0.464
2017,전남서부,156,73,0.468,198,93,0.47,118,47,0.398,199,84,0.422
2017,대전,311,111,0.357,684,216,0.316,395,139,0.352,481,117,0.243
2017,충북,264,87,0.33,397,146,0.368,333,102,0.306,277,120,0.433
2017,충남,465,192,0.413,769,319,0.415,806,341,0.423,700,279,0.399
2017,인천,326,126,0.387,594,257,0.433,365,153,0.419,433,230,0.531
2017,경기,1074,381,0.355,1110,387,0.349,1333,453,0.34,1378,499,0.362
2017,강원,280,88,0.314,404,128,0.317,420,101,0.24,581,124,0.213
2017,강원동부,303,64,0.211,345,78,0.226,322,65,0.202,263,56,0.213
2017,제주,64,24,0.375,261,92,0.352,274,89,0.325,386,162,0.42
2018,서울,1541,498,0.323,2430,781,0.321,1989,600,0.302,2301,674,0.293
2018,부산,924,409,0.443,1343,628,0.468,1017,463,0.455,1013,419,0.414
2018,울산,258,146,0.566,485,206,0.425,329,168,0.511,514,243,0.473
2018,대구,753,379,0.503,833,374,0.449,946,432,0.457,689,342,0.496
2018,경북,184,59,0.321,358,129,0.36,287,90,0.314,292,114,0.39
2018,경북동부,268,122,0.455,480,226,0.471,715,323,0.452,650,280,0.431
2018,광주,192,91,0.474,345,162,0.47,240,136,0.567,319,163,0.511
2018,전북,437,202,0.462,742,325,0.438,607,266,0.438,850,336,0.395
2018,전남,462,263,0.569,617,282,0.457,453,225,0.497,438,207,0.473
2018,전남서부,165,52,0.315,279,104,0.373,251,95,0.378,264,106,0.402
2018,대전,361,125,0.346,462,150,0.325,404,134,0.332,674,165,0.245
2018,충북,424,165,0.389,498,166,0.333,369,129,0.35,560,177,0.316
2018,충남,477,196,0.411,727,272,0.374,712,271,0.381,814,310,0.381
2018,인천,305,124,0.407,599,262,0.437,373,172,0.461,467,180,0.385
2018,경기,893,271,0.303,1426,418,0.293,870,306,0.352,1136,410,0.361
2018,강원,278,72,0.259,446,95,0.213,486,95,0.195,618,118,0.191
2018,강원동부,162,17,0.105,315,75,0.238,332,47,0.142,315,97,0.308
2018,제주,56,32,0.571,224,79,0.353,223,99,0.444,208,76,0.365
2019,서울,1353,555,0.41,2114,738,0.349,1313,503,0.383,1527,541,0.354
2019,부산,979,402,0.411,1356,540,0.398,1231,539,0.438,1395,547,0.392
2019,대구,541,304,0.562,1052,469,0.446,1012,466,0.46,1211,589,0.486
2019,인천,407,143,0.351,1261,414,0.328,1568,452,0.288,2040,593,0.291
2019,광주,340,160,0.471,585,259,0.443,538,236,0.439,647,253,0.391
2019,충남,647,263,0.406,801,337,0.421,682,267,0.391,757,323,0.427
2019,울산,458,171,0.373,763,330,0.433,619,295,0.477,640,346,0.541
2019,경기,827,316,0.382,1493,507,0.34,1071,425,0.397,1443,477,0.331
2019,강원,261,62,0.238,393,110,0.28,428,103,0.241,509,104,0.204
2019,충북,460,174,0.378,637,283,0.444,565,227,0.402,657,190,0.289
2019,대전,545,178,0.327,750,212,0.283,675,189,0.28,827,201,0.243
2019,전북,552,237,0.429,775,320,0.413,705,264,0.374,946,392,0.414
2019,전남,472,232,0.492,513,236,0.46,532,251,0.472,644,286,0.444
2019,경북,297,106,0.357,539,220,0.408,279,111,0.398,429,157,0.366
2019,제주,102,30,0.294,271,68,0.251,289,100,0.346,301,77,0.256
2019,강원동부,273,83,0.304,420,107,0.255,394,95,0.241,412,114,0.277
2019,전남서부,172,69,0.401,243,101,0.416,222,96,0.432,270,122,0.452
2019,경북동부,396,172,0.434,605,254,0.42,504,253,0.502,564,258,0.457
2020,부산,517,212,0.41,1056,470,0.445,1385,673,0.486,1236,560,0.453
2020,대구,370,162,0.438,891,417,0.468,1166,554,0.475,1240,569,0.459
2020,인천,666,173,0.26,1292,351,0.272,1902,520,0.273,2116,539,0.255
2020,광주,298,118,0.396,467,205,0.439,563,236,0.419,739,345,0.467
2020,충남,350,161,0.46,609,306,0.502,792,337,0.426,969,434,0.448
2020,울산,316,153,0.484,470,255,0.543,610,332,0.544,950,494,0.52
2020,경기,597,228,0.382,811,297,0.366,1224,348,0.284,1308,239,0.183
2020,강원,156,36,0.231,390,82,0.21,517,77,0.149,541,89,0.165
2020,충북,208,79,0.38,513,222,0.433,579,234,0.404,578,261,0.452
2020,대전,306,84,0.275,536,166,0.31,865,310,0.358,887,271,0.306
2020,전북,343,158,0.461,526,224,0.426,888,374,0.421,1262,553,0.438
2020,전남,258,132,0.512,501,268,0.535,651,294,0.452,683,350,0.512
2020,경북,240,102,0.425,328,141,0.43,477,197,0.413,467,210,0.45
2020,제주,110,15,0.136,134,41,0.306,225,60,0.267,317,91,0.287
2020,강원동부,202,54,0.267,324,88,0.272,462,123,0.266,429,122,0.284
2020,전남서부,87,45,0.517,216,105,0.486,309,122,0.395,325,123,0.378
2020,경북동부,230,96,0.417,346,146,0.422,479,199,0.415,550,234,0.425
2020,경기북부,528,212,0.402,1345,409,0.304,1792,543,0.303,2327,738,0.317
2020,경북서부,0,0,0,0,0,0,62,26,0.419,637,257,0.403
2020,경기남부,0,0,0,0,0,0,79,22,0.278,203,84,0.414
2021,서울서부,0,0,0,0,0,0,220,50,0.227,0,0,0
2021,부산,738,358,0.485,1203,546,0.454,909,370,0.407,0,0,0
2021,대구,691,273,0.395,1316,562,0.427,857,319,0.372,0,0,0
2021,인천,1089,319,0.293,2066,540,0.261,1431,287,0.201,0,0,0
2021,광주,446,208,0.466,828,398,0.481,567,208,0.367,0,0,0
2021,충남,645,313,0.485,1181,486,0.412,914,271,0.296,0,0,0
2021,울산,425,213,0.501,845,491,0.581,526,269,0.511,0,0,0
2021,경기,707,110,0.156,810,183,0.226,746,134,0.18,0,0,0
2021,강원,320,64,0.2,575,146,0.254,547,121,0.221,0,0,0
2021,충북,510,181,0.355,1008,411,0.408,663,188,0.284,0,0,0
2021,대전,567,188,0.332,921,268,0.291,727,227,0.312,0,0,0
2021,전북,723,280,0.387,1387,559,0.403,956,321,0.336,0,0,0
2021,전남,443,228,0.515,743,380,0.511,588,209,0.355,0,0,0
2021,경북,296,150,0.507,469,198,0.422,346,115,0.332,0,0,0
2021,경남,384,157,0.409,686,289,0.421,493,177,0.359,0,0,0
2021,제주,156,53,0.34,239,62,0.259,218,71,0.326,0,0,0
2021,강원동부,254,65,0.256,541,136,0.251,426,94,0.221,0,0,0
2021,전남서부,184,78,0.424,347,151,0.435,234,76,0.325,0,0,0
2021,경북동부,302,133,0.44,539,233,0.432,399,123,0.308,0,0,0
2021,경기북부,1707,501,0.293,3276,878,0.268,2197,445,0.203,0,0,0
2021,경기동부,0,0,0,772,225,0.291,521,144,0.276,0,0,0
2021,경북서부,291,130,0.447,542,248,0.458,368,127,0.345,0,0,0
2021,경기남부,208,108,0.519,216,101,0.468,126,43,0.341,0,0,0
