시·도,경기장,직종수,인원
서울,서울공업고등학교,11,105
서울,경기기계공업고등학교,5,73
서울,성동공업고등학교,5,54
서울,한양공업고등학교,4,45
서울,용산공업고등학교,4,22
서울,서울로봇고등학교,4,55
서울,신진과학기술고등학교,3,31
서울,세명컴퓨터고등학교,3,30
서울,인덕과학기술고등학교,2,9
서울,대진디자인고등학교,2,26
서울,서울동산고등학교,2,12
서울,서울특별시 남부기술교육원,2,13
서울,한국산업인력공단 서울국가자격시험장,1,24
서울,한국산업인력공단 서울동부국가자격시험장,4,88
부산,부산기계공업고등학교,13,97
부산,경남공업고등학교,6,48
부산,부산공업고등학교,5,40
부산,한국조형예술고등학교,4,29
부산,부일전자디자인고등학교,4,47
부산,부산전자공업고등학교,4,23
부산,부산자동차고등학교,3,45
부산,부산여자대학교,3,14
부산,한국산업인력공단 부산지역본부,1,5
대구,경북기계공업고등학교,14,137
대구,대구달서공업고등학교,8,77
대구,대구서부공업고등학교,8,74
대구,대구공업고등학교,5,51
대구,대구공업대학교,5,33
대구,한국폴리텍대학 달성캠퍼스,2,12
대구,한국폴리텍대학 영남융합기술캠퍼스,4,34
대구,법무부제5공공직업훈련소,1,6
인천,인천기계공업고등학교,4,27
인천,부평공업고등학교,7,38
인천,인평자동차고등학교,2,14
인천,인천생활과학고등학교,5,33
인천,인천전자마이스터고등학교,5,25
인천,대한상공회의소 인천인력개발원,7,46
인천,도화기계공업고등학교,1,12
인천,인천정보과학고등학교,1,4
인천,한국산업인력공단 인천지역본부,2,35
광주,광주공업고등학교,9,56
광주,전남공업고등학교,2,13
광주,광주전자공업고등학교,7,93
광주,광주자연과학고등학교,3,21
광주,광주자동화설비공업고등학교,3,36
광주,광주소프트웨어마이스터고등학교,4,35
광주,금파공업고등학교,6,68
광주,광주교도소,2,11
대전,충남기계공업고등학교,7,34
대전,유성생명과학고등학교,8,58
대전,동아마이스터고등학교,5,53
대전,대전공업고등학교,8,45
대전,대전교도소,2,14
대전,성창이엔지,2,8
대전,한국산업인력공단 대전지역본부,7,45
울산,울산공업고등학교,11,87
울산,울산애니원고등학교,6,37
울산,울산산업고등학교,4,30
울산,현대공업고등학교,3,29
울산,울산마이스터고등학교,3,22
세종,세종하이텍고등학교,7,36
세종,농업회사법인 세종로컬푸드㈜,1,4
경기,부천공업고등학교,17,197
경기,김포제일공업고등학교,11,93
경기,군자디지털과학고등학교,9,87
경기,경기스마트고등학교,7,68
경기,경기경영고등학교,5,90
경기,한국조리과학고등학교,4,41
강원,강릉중앙고등학교,12,82
강원,강릉정보공업고등학교,5,41
강원,한국폴리텍대학 강릉캠퍼스,6,32
강원,해군1함대 제1수리창,1,4
강원,춘천기계공업고등학교,7,29
강원,원주공업고등학교,3,18
강원,원수교도소,1,5
충북,청주공업고등학교,7,43
충북,충북공업고등학교,6,50
충북,증평공업고등학교,3,30
충북,충청대학교,6,28
충북,충북반도체고등학교,5,32
충북,제천산업고등학교,4,19
충북,청주교도소,1,4
충북,한국산업인력공단 충북지사,3,20
충남,천안공업고등학교,12,65
충남,천안상업고등학교,6,62
충남,천안제일고등학교,6,54
충남,연무대기계공업고등학교,5,31
충남,논산공업고등학교,4,20
충남,서산공업고등학교,2,11
충남,병천고등학교,5,34
충남,합덕제철고등학교,3,16
전북,전주공업고등학교,10,63
전북,전북기계공업고등학교,7,51
전북,이리공업고등학교,4,23
전북,전주생명과학고등학교,7,47
전북,군산교도소,1,5
전북,㈜명신기술교육원,1,15
전북,한국폴리텍대학 익산캠퍼스,4,29
전북,전북하이텍고등학교,3,22
전남,순천공업고등학교,9,83
전남,순천청암고등학교,6,56
전남,한국폴리텍대학 순천캠퍼스,2,15
전남,순천효산고등학교,3,26
전남,순천전자고등학교,2,10
전남,목포공업고등학교,4,43
전남,여수공업고등학교,4,60
전남,나주공업고등학교,2,10
전남,고흥산업과학고등학교,2,20
전남,순천교도소,3,14
경북,금오공업고등학교,19,162
경북,신라공업고등학교,8,73
경북,경주공업고등학교,5,46
경북,경북생활과학고등학교,5,30
경북,포항제철공업고등학교,4,42
경북,상주공업고등학교,2,17
경북,한국생명과학고등학교,3,17
경북,경북직업훈련소,1,4
경북,금호공업고등학교,2,13
경남,창원기계공업고등학교,14,127
경남,창원문성대학교,11,90
경남,김해건설공업고등학교,12,123
경남,삼천포공업고등학교,4,42
경남,진주기계공업고등학교,3,24
경남,창원여성인력개발센터,2,22
경남,진주교도소,1,6
제주,한국폴리텍대학 제주캠퍼스,6,49
제주,한림공업고등학교,6,49
제주,제주고등학교,6,30
제주,서귀포산업과학고등학교,5,39
제주,제주한라대학교,4,26
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
